,texto
0,- La honestidad
1,oye
2,Que no se cansa de chingar al pueblo
3,Olvidó agregar que en 2015 fue diputado federal Gracias a MC
4, 
5,"Jajajajajajajaja “de sol a sol” , si después de la mañanera que (según él) es trabajo ya no hace nada el hue von."
6,Estamos listos para ver la madriza que te va a poner
7,Y que tan atrás voltea??
8,"Jajaja jajaja jajaja hdspm....
Q se los crea su madre!!!"
9, 
10,Fuera Lomelí.
11,Jajaja no mamssss
12, 
13,Donde habré escuchado eso?
14,20 años y nadie en el video puede decir ningún logro que hayas hecho?
15,Hahaha no mas no Venda medicinas a sobre precio y arre !!!
16,"Jajajajajaja Jajajajajaja
Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja Jajajajajaja
Ladrón hipócrita"
17,"A cuánto el PARACETAMOL??
Vender medicamentos a sobreprecio, se considera honesto?"
18,Que dice el que abuso la confianza para beneficio de su farmacéutica?
19,"Jajajajaja, oilooooooo!"
20,Para el doctor la honestidad es su motor!
21, 
22,En
23,Con todo
24,"Pero ya tuviste tú oportunidad,  deja que alguien más sea candidato. Además no se olvida que cuando fue la pandemia te viste mal , agandayando los medicamentos ."
25,Lo que les guste a ti y al otro pendejo nos vale pura madre
26,Totalmente de acuerdo Dr Carlos lomeli Bolaños y cuente con nuestro apoyo dtto 14.
27,"20 años y sin ganar nada pero como no tengo nada mejor que hacer ahí le seguimos hasta q ""pueda servir al pueblo bueno..."""
28,Eso no dice en sus órdenes de aprehensión y arreglos al declararlo culpable
29,20 años perdiendo
30,Solo le ponen más fácil el camino a MC ... Pura llamarada de petate
31,"Yo conozco al doctor Carlos Lomelí de añales!! Es y será el eterno perdedor de la política, ademas, como regidor de Guadalajara es el que más faltas tiene… ósea que él huevon ni a trabajar va"
32,Agradecemos infinitamente que la 4T. Desaparezca de todo el país.
33,"Ni madres, porros , corruptos, autócratas de porquería."
34,Llevas 20 años robándole al erario de México con tus medicinas a sobreprecio.
35,Quieres la gobernatura para llenarte los bolsillos de dinero
36,Jajaja.
37,Abeses no es nesesario conoser tanto tiempo si su obras se denuestran vien eso abla d una persona
38,Cuenta con nuestro apoyo Dr Carlos lomeli Bolaños
39,Jajaja jajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja
40,20 años y no has hecho ni madre
41, 
42,Robando por todo México
43,"Cómo buenos Jaliscienses estimado Doctor, con todo y por el bien del pueblo de Jalisco"
44,Con todo doctor!
45,Dices…
46,ruco ratero ya sientese
47,Onde aparece que es un regidor huevón?
48,"Urge la 4t en Jalisco, urge sacar a cuartazos a los malos gobiernos
Confiamos en UD"
49,Jajajjajajajaajjajajjjajaajaajjaa HONESTIDAD… jajajajjajajjaaajajaajajaja
50,"Ya lo queremos ver como senador o diputado federal.

Creemos que podrá hacer una buena labor."
51,"Con los hechos lo ha demostrado Doctor. Vamos a Transformar Jalisco, así puede!!!"
52,"Jajaja, honestidad, ni la conoces, lo bueno que vas a perder"
53,Pon la lista de todas las veces que has competido por un cargo público. Llevas 20 años queriendo hueso y nunca has ganado una sola elección
54,Ojalá vuelvas a perder
55,"""La honestidad"""
56,Totalmente de acuerdo Dr Carlos lomeli Bolaños
57,"¡Ánimoooo Cuadroooo!...: Usted, es el bateador designado."
58,Increíble que un perdedor insista en ser candidato
59,Es correcto doctor y en tonala estamos convencidos  que no nos va a fallar no se rinda doctor que en Jalisco viene la 4T y usted para lograr el cambio bueno
60,"Jajaja Saludos Don Raterillo, nadie cree en usted"
61,Jajajaja wey tu estabas en MC.
62,"Populismo sin argumentación.
El concepto y definición de ""honestidad"" no cabe en el vocablo de"
63,"Con ratas y marranos como tú, no gracias!"
64,Hola k ace? mintiendo y robando o k ace?
65,jajajaja honestidad ?
66,Sólo puedo expresar
67,"Si, pero por favor, quítate del camino como candidato por Jalisco,  no se lo regales a Lemus,"
68,Corruptazo y diciendo que es “luchador”
69,"ud no iba ni a trabajar siendo regidor, no la chifle que es cantada"
70,Estamos con usted estimado Doctor
71,"Necesitamos algo mas que honestidad y amor
Que te parece:
Capacidad
Conocimiento
Consistencia
Audacia
No robar
No mentir
No traicionar
Trabajador
Etc..."
72,"Ya
Se descarriló, súper corrupto"
73,La respuesta para Jalisco es Lomelí
74,Honestidad?
75,"Si eres honesto, ningún cargo en el gobierno es tu camino"
76,Jajajaja ruco corrupto
77,Honestidad NO RETRO MAMES!?
78,Cuanta con mi apoyo desde Tlajomulco de zuñiga jalisco.......
79,"Vamos con todo Dr Carlos lomeli
Cuenta con nuestro apoyo dtto 14"
80,Tercos y LADRONES
81,Sin duda alguna usted es la persona más generosa que conozco mi apoyo siempre será para usted.
82,Venga con el Doctor !!!
83,Inche delincuente.
84,En Jalisco la mayoría lo apoya y lo quiere ver iniciando la  4ta transformación
85,"Dos décadas robando y chingando gente, veinte años de paria, veinte años mamando del erario, no cualquiera es igual de cínico, felicidades"
86,Jajajajja la honestidad jajajaja
87,"Estanos con usted,"
88,"Soy paciente IMSS, y por la sonrisa detecto que no prestan sus servicios ahí; pero, neta, l@s felicito en su día. Ya queda de cada quien se expresarse de acuerdo a como le va en la feria de la atención médica pública"
89,Vamos doc  usted  va cambiar jalisco
90,Carlitros ya siéntate
